grammar_id,pattern,canonical_meaning_zh,function,form_note,example_ko,example_zh,confusable_with,same_meaning_as,source_refs,first_seen_date,last_seen_date,last_review_date,correct_count,wrong_count,uncertain_count,mastery_level,ask_priority,status,notes
G0001,V-으면/-면,如果……的话,条件,动词或形容词词干接 -(으)면,시간이 있으면 같이 읽어요,如果有时间就一起读,-든지;-거나,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础条件表达
G0002,V-기 시작하다,开始做某事,起始,动词词干接 -기 시작하다,꽃이 피기 시작하다,花开始开放,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,起始变化表达
G0003,-는 걸 보니,看到……看来……,根据证据判断,动词现在时定语形加 걸 보니,꽃이 피기 시작하는 걸 보니 봄이 온 모양이다,看到花开始开了看来春天来了,-(으)ㄴ 모양이다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,用户重点回炉语法
G0004,-(으)ㄴ 모양이다,看来……好像……,推测,形容词或动词完成形接 -(으)ㄴ 모양이다,봄이 온 모양이다,看来春天来了,-곤 하다;-는 편이다;-(으)ㄴ 적이 있다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,用户重点回炉语法
G0005,V-자,一……就……,即时先后,动词词干接 -자,시험이 시작되자 교실은 조용해졌다,考试一开始教室就变安静了,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,시작되자 拆为 시작되다 + V-자
G0006,V-ㄹ 만큼,到……程度,程度,动词词干接 -(으)ㄹ 만큼,숨소리가 들릴 만큼 조용하다,安静到能听见呼吸声,,V-ㄹ 정도로,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,用户重点回炉语法
G0007,V-ㄹ 정도로,到……程度,程度,动词词干接 -(으)ㄹ 정도로,숨소리가 들릴 정도로 조용하다,安静到能听见呼吸声,,V-ㄹ 만큼,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,与 V-ㄹ 만큼 同义
G0008,V-기 나름이다,取决于怎么……,取决于方式/情况,动词词干接 -기 나름이다,하기 나름이다,取决于怎么做,,V-기에 달려 있다,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,用户重点回炉语法
G0009,V-기에 달려 있다,取决于……,取决于,动词词干接 -기에 달려 있다,결과는 노력하기에 달려 있다,结果取决于努力,,V-기 나름이다,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,与 V-기 나름이다 同义
G0010,V-지 마세요,请不要……,禁止/劝阻,动词词干接 -지 마세요,무리하게 타지 마세요,请不要勉强上车,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,基础禁止表达
G0011,V-ㄹ 때,……的时候,时间,动词词干接 -(으)ㄹ 때,문이 닫힐 때 조심하세요,门关闭时请小心,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,时间从句
G0012,N을/를 대상으로,以……为对象,对象/范围,名词接 을/를 대상으로,학생들을 대상으로 심사하다,以学生为对象进行评审,,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,medium,active,对象范围表达
G0013,-든지,不管……；……也好,选择/让步,动词或形容词词干接 -든지,-든지 괜찮아요,不管哪个都可以,-거나;V-으면/-면,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,用户主动标记的干扰项/易混语法
G0014,-거나,或者……,选择,动词或形容词词干接 -거나,읽거나 들으세요,请读或者听,-든지;V-으면/-면,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,用户主动标记的干扰项/易混语法
G0015,-곤 하다,经常……；过去常常……,反复/习惯,动词词干接 -곤 하다,주말마다 산책하곤 한다,周末常常散步,-는 편이다;-(으)ㄴ 적이 있다;-(으)ㄴ 모양이다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,오곤 한다 归入 -곤 하다
G0016,-는 편이다,算是……；比较……,倾向,动词或形容词定语形加 편이다,조용한 편이다,算是比较安静,-곤 하다;-(으)ㄴ 적이 있다;-(으)ㄴ 모양이다,,TOPIK_BASIC_090_Q01_Q11,2026-06-21,2026-06-21,,0,0,0,1,high,active,편이다 归入 -는 편이다
